epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.7477,1.00391,3.90677,0.92409,0.0036,0.96462,0.2939,0.21271,0.77395,3.86942,0.81405,0.0002,0.0002,0.0002
2,43.4142,0.93632,2.42789,0.89081,0.00394,0.98881,0.45291,0.31897,0.7892,3.72799,0.81536,0.000410458,0.000410458,0.000410458
3,61.7998,0.91058,1.9723,0.90924,0.00372,0.97825,0.50422,0.3805,0.79056,3.75298,0.85687,0.000618813,0.000618813,0.000618813
4,80.2458,0.88822,1.64776,0.90781,0.97959,0.52979,0.86789,0.67396,0.81921,3.43497,0.87067,0.000825063,0.000825063,0.000825063
5,99.2064,0.90786,1.47926,0.94099,1,0.39831,0.97975,0.78388,0.79909,2.80678,0.88585,0.00102921,0.00102921,0.00102921
6,122.537,0.86415,1.38284,0.92734,1,0.56199,0.96786,0.75909,0.83102,2.6567,0.89533,0.00121906,0.00121906,0.00121906
7,153.398,0.88583,1.2907,0.90229,0.98822,0.96169,0.99118,0.77989,0.81386,1.85579,0.87685,0.00121287,0.00121287,0.00121287
8,180.041,0.85402,1.22843,0.90885,0.9767,0.97863,0.9876,0.79224,0.77877,1.35091,0.87248,0.00120669,0.00120669,0.00120669
9,200.095,0.84452,1.19443,0.90394,0.98745,0.98601,0.98878,0.78895,0.80088,1.13217,0.87525,0.0012005,0.0012005,0.0012005
10,221.193,0.88222,1.15812,0.9238,0.97686,0.99194,0.99147,0.79649,0.77376,0.99452,0.87201,0.00119431,0.00119431,0.00119431
11,252.763,0.8516,1.10208,0.9236,0.98899,0.98997,0.99181,0.80809,0.73749,0.92117,0.86699,0.00118812,0.00118812,0.00118812
12,281.638,0.82212,1.00278,0.90354,0.99413,0.99779,0.995,0.80511,0.75239,0.91622,0.86872,0.00118194,0.00118194,0.00118194
13,308.248,0.8023,0.96537,0.89384,0.98572,1,0.99477,0.81295,0.77742,0.84176,0.86801,0.00117575,0.00117575,0.00117575
14,336.428,0.81629,0.9401,0.8933,0.99338,0.98723,0.99414,0.80436,0.77596,0.87804,0.87072,0.00116956,0.00116956,0.00116956
15,359.195,0.82429,0.95503,0.8986,0.98974,0.99619,0.995,0.81509,0.72675,0.91791,0.85842,0.00116337,0.00116337,0.00116337
16,403.277,0.80683,0.89731,0.89642,0.99474,0.94998,0.94826,0.78078,0.7298,0.79461,0.86024,0.00115719,0.00115719,0.00115719
17,434.294,0.77115,0.8454,0.88841,0.98973,0.99677,0.995,0.839,0.65635,0.73341,0.84226,0.001151,0.001151,0.001151
18,467.074,0.7612,0.78903,0.89141,0.99262,0.99687,0.99491,0.82595,0.70936,0.75373,0.85077,0.00114481,0.00114481,0.00114481
19,503.159,0.77524,0.81778,0.89283,0.99248,0.97216,0.97331,0.81833,0.66222,0.70316,0.84233,0.00113863,0.00113863,0.00113863
20,525.299,0.73308,0.73446,0.87045,0.99209,1,0.995,0.83472,0.65525,0.65352,0.84476,0.00113244,0.00113244,0.00113244
21,548.61,0.7414,0.74856,0.87354,0.98528,1,0.9945,0.83878,0.669,0.64834,0.83918,0.00112625,0.00112625,0.00112625
22,568.934,0.70911,0.69387,0.86679,0.98835,0.99884,0.98898,0.82534,0.73305,0.64567,0.85337,0.00112006,0.00112006,0.00112006
23,588.746,0.72707,0.70446,0.8638,0.98311,1,0.99203,0.82858,0.66252,0.61116,0.83874,0.00111388,0.00111388,0.00111388
24,609.607,0.72862,0.68824,0.86854,0.99762,1,0.995,0.82991,0.69956,0.59612,0.84551,0.00110769,0.00110769,0.00110769
25,630.843,0.75206,0.6828,0.87947,0.99253,1,0.995,0.84542,0.63673,0.57835,0.83927,0.0011015,0.0011015,0.0011015
26,650.962,0.74466,0.65335,0.87113,0.99333,0.99022,0.99477,0.84905,0.63359,0.57183,0.83781,0.00109531,0.00109531,0.00109531
27,671.331,0.70737,0.64531,0.87386,0.9962,0.99854,0.995,0.85491,0.61529,0.54302,0.83059,0.00108913,0.00108913,0.00108913
28,691.944,0.72787,0.61857,0.87636,0.99713,0.99783,0.995,0.84852,0.60478,0.54397,0.82896,0.00108294,0.00108294,0.00108294
